layer_size,momentum,number_of_features,mean_score,std_score
50,0,1,0.550259669869426,0.04125920466364984
50,0.9,1,0.4321660507514166,0.1240411012787781
200,0,1,0.5260857354028086,0.05594559962774232
200,0.9,1,0.6179536831731953,0.05876289310173288
400,0,1,0.5625178615422517,0.05151576880522226
400,0.9,1,0.6197871396895788,0.06127212991726328
50,0,2,0.5254343434343435,0.07615633419179223
50,0.9,2,0.4278876570583887,0.13828393396616404
200,0,2,0.5886706085242671,0.0561087324003491
200,0.9,2,0.6179857107661986,0.03955845450297911
400,0,2,0.5880216802168021,0.051404382258316825
400,0.9,2,0.6001946292190194,0.07149414556734551
50,0,3,0.5362961320522296,0.04867445305737183
50,0.9,3,0.42201527469820155,0.1403191812325403
200,0,3,0.5587179108154718,0.0426167099669526
200,0.9,3,0.6303912293668391,0.0397467648254632
400,0,3,0.5611337767923135,0.05936510974820274
400,0.9,3,0.6062616407982262,0.05233111376512667
50,0,4,0.5329440748952944,0.08278041666937284
50,0.9,4,0.46813402315841335,0.13761106339864526
200,0,4,0.5569381621088938,0.04606647731691331
200,0.9,4,0.5967154471544716,0.07353999852868959
400,0,4,0.5505070214338507,0.04434632039436407
400,0.9,4,0.6153072185267308,0.03350380334097818
50,0,5,0.5369618132544962,0.06566943804310449
50,0.9,5,0.48074895294407494,0.144789833819684
200,0,5,0.5500630697216062,0.06044444010042222
200,0.9,5,0.6208741069228874,0.06639410621716572
400,0,5,0.5607090416358709,0.04907746997245619
400,0.9,5,0.638630204483863,0.03746875612572018
50,0,6,0.5540522296132053,0.033390390120129294
50,0.9,6,0.5100872135994088,0.10114170946098304
200,0,6,0.5438511948755852,0.08221811166342281
200,0.9,6,0.6061911800936192,0.06875806468467743
400,0,6,0.5452140921409214,0.0694386076448699
400,0.9,6,0.6330736634639075,0.04052581382904775
50,0,7,0.5318832224685883,0.0386612038218633
50,0.9,7,0.542318797733432,0.1470162046203066
200,0,7,0.5586922887410692,0.0611664883066154
200,0.9,7,0.6102044838630205,0.07915143999538711
400,0,7,0.5753520571569352,0.05661287138198998
400,0.9,7,0.6170687361419069,0.07577467618407524
50,0,8,0.5393934466617394,0.05801420279217122
50,0.9,8,0.4266656812022666,0.14139444443414145
200,0,8,0.5369692042374969,0.061357506302212046
200,0.9,8,0.6219871889627988,0.06494730111311109
400,0,8,0.5232007883715201,0.0596320179148286
400,0.9,8,0.6130889381621089,0.046026795543200875
50,0,9,0.5460867208672087,0.047646394273659826
50,0.9,9,0.5107336782458733,0.10861704667564372
200,0,9,0.5576008869179601,0.048343761882957366
200,0.9,9,0.6375259916235527,0.041774120321236195
400,0,9,0.5587050997782705,0.09568584278498801
400,0.9,9,0.6357536338999753,0.03935337467912738
50,0,10,0.5529445676274944,0.03418578876317968
50,0.9,10,0.45662872628726286,0.1453023638009672
200,0,10,0.5415939886671592,0.04631192555040621
200,0.9,10,0.6186622320768661,0.05162236222354702
