layer_size,momentum,learning_rate_init,number_of_features,mean_score,std_score
,0,0.005,11,0.4330411431387041,0.06844057541645565
,0.9,0.005,11,0.2845720620842572,0.014667315658052769
,0,0.002,11,0.46927026361172697,0.06554845344788418
,0.9,0.002,11,0.4486646957378665,0.10039427231763288
,0,0.001,11,0.37962798718896285,0.09553759489939921
,0.9,0.001,11,0.5107583148558759,0.03628435908214416
,0,0.0005,11,0.30964868194136486,0.07050691317276174
,0.9,0.0005,11,0.5900128110372013,0.017574034303031692
,0,0.0002,11,0.3256925351071693,0.07422454379314448
,0.9,0.0002,11,0.46617048534121697,0.09725598398887536
,0,0.0001,11,0.4366065533382607,0.04790714350704071
,0.9,0.0001,11,0.4854461690071446,0.09507214448484695
