layer_size,momentum,number_of_features,mean_score,std_score
50,0,1,0.41906775067750673,0.0664075006070851
50,0.9,1,0.41644740083764475,0.15129815922484838
300,0,1,0.3884533136240453,0.05018484289469834
300,0.9,1,0.575138704114314,0.03955426560952218
600,0,1,0.45654496181325455,0.09556953269514405
600,0.9,1,0.5638364129095836,0.0516589820379623
50,0,2,0.34226952451342696,0.08609186493295437
50,0.9,2,0.4153338260655334,0.1323540370408545
300,0,2,0.3986375954668638,0.0977013022787142
300,0.9,2,0.5562621335304262,0.058588891035783776
600,0,2,0.41623404779502343,0.0723327833740817
600,0.9,2,0.5298915989159891,0.05706714809958944
50,0,3,0.38467652131066765,0.07461183640676398
50,0.9,3,0.3913949248583395,0.11026086093560979
300,0,3,0.4543375215570338,0.07509958978157773
300,0.9,3,0.541190440995319,0.06264985397649679
600,0,3,0.4292968711505297,0.04371827030446623
600,0.9,3,0.5469869425966987,0.08044115910770261
50,0,4,0.39754767184035467,0.05235808911638603
50,0.9,4,0.38977679231337764,0.12728078849774765
300,0,4,0.42131313131313125,0.07179551080078589
300,0.9,4,0.5365277161862527,0.04383246434156816
600,0,4,0.4186144370534614,0.07866776712322712
600,0.9,4,0.5409347129834934,0.06396533053844353
50,0,5,0.38579995072677997,0.07091953251066428
50,0.9,5,0.37479231337767926,0.12475977356211368
300,0,5,0.38338162108893814,0.06706478450445419
300,0.9,5,0.5764661246612466,0.05246242505043592
600,0,5,0.4093042621335304,0.09285940121925355
600,0.9,5,0.5818029071199802,0.033517932776999264
50,0,6,0.3924134023158413,0.05784548424850442
50,0.9,6,0.42234441980783444,0.09952680227629902
300,0,6,0.4312815964523281,0.08478632457703567
300,0.9,6,0.540089184528209,0.05375707744544294
600,0,6,0.3922044838630205,0.07808307251102418
600,0.9,6,0.5645030795762503,0.035505164367666896
50,0,7,0.3664789356984479,0.05910195701841507
50,0.9,7,0.4886356245380636,0.11498261712364291
300,0,7,0.4228686868686869,0.0873293931590875
300,0.9,7,0.5551653116531166,0.04342723044846746
600,0,7,0.42396501601379655,0.09301468108098415
600,0.9,7,0.5542912047302292,0.03510448240821675
50,0,8,0.3890963291451096,0.054991224878816
50,0.9,8,0.41911899482631193,0.14497907560342801
300,0,8,0.38844887903424485,0.07092161973967566
300,0.9,8,0.5507055925104706,0.05329570384493335
600,0,8,0.4150372012811038,0.08851791103158904
600,0.9,8,0.5349682187730969,0.042393483170294684
50,0,9,0.407330376940133,0.06345205360346873
50,0.9,9,0.38486425227888643,0.11958091204276405
300,0,9,0.4228371520078837,0.09129760618513229
300,0.9,9,0.5684927322000494,0.0495655727607991
600,0,9,0.4015254988913526,0.09611443944803003
600,0.9,9,0.5498566149297857,0.047490157350628476
50,0,10,0.3768923380142893,0.06900913113993763
50,0.9,10,0.4899034244887903,0.10086756361507765
300,0,10,0.4092840601133284,0.09051322265009763
300,0.9,10,0.5609465385562947,0.049385009598019995
600,0,10,0.42620744025622076,0.06528426364851696
600,0.9,10,0.5460576496674058,0.05637628613950747
50,0,11,0.35889036708548905,0.07663152309771865
50,0.9,11,0.5061404286770141,0.071624533202746
300,0,11,0.4195486573047549,0.08764539382442035
300,0.9,11,0.5629563932002957,0.041316959205723494
600,0,11,0.3893259423503326,0.05967683493646108
600,0.9,11,0.5511648189209164,0.028345220519541147
50,0,12,0.38068834688346886,0.0794641005167552
50,0.9,12,0.3793136240453313,0.11352988500109641
300,0,12,0.42066124661246607,0.05600149560512457
300,0.9,12,0.5469627987188963,0.026573577685025777
600,0,12,0.4343858093126386,0.07184870109822908
600,0.9,12,0.539389997536339,0.038947005565026525
50,0,13,0.40219167282581914,0.06758777549916231
50,0.9,13,0.5187174180832718,0.08067118476737203
300,0,13,0.44548854397634885,0.05223531996183758
300,0.9,13,0.5571372259177136,0.03886256135073644
600,0,13,0.42153436807095346,0.08821954508459078
600,0.9,13,0.5720349839862034,0.046274675050225304
50,0,14,0.3504887903424489,0.07739931631265186
50,0.9,14,0.4854476472037447,0.08792972000436128
300,0,14,0.4143779255974378,0.06891274045569444
300,0.9,14,0.5646651884700666,0.05597795904592529
600,0,14,0.4288386302044838,0.06620893556832383
600,0.9,14,0.5715826558265583,0.046729995012473685
50,0,15,0.38159990145356,0.0797196626961753
50,0.9,15,0.4570539541759054,0.12176447730627118
300,0,15,0.41326927814732695,0.07291666506155418
300,0.9,15,0.5635821630943582,0.04134264308261083
600,0,15,0.40822419315102243,0.10194106103209541
600,0.9,15,0.5749361911800938,0.04570995058592357
50,0,16,0.38289480167528944,0.04640005078484291
50,0.9,16,0.42573786646957384,0.0870141620362954
300,0,16,0.4385819167282582,0.05544866289550766
300,0.9,16,0.5433633899975363,0.044053059243317566
600,0,16,0.46724611973392466,0.06443920426424123
